gene	partner	tolerance
ALK	DCTN1	50
ALK	EML4	50
ALK	STRN	50
ALK	PPP1CB	50
ALK	CCDC88A	50
ALK	KTN1	50
ALK	TPM3	50
BCOR	CCNB3	50
BCOR	MAML3	50
BCOR	ZC3H7B	50
BRAF	PDE10A	50
BRAF	SEPTIN7	50
BRAF	CUX1	50
BRAF	ERC1	50
BRAF	KIAA1549	50
BRAF	FAM131B	50
BRAF	SLC45A3	50
CAMTA1	WWTR1	50
CIC	DUX4	50
CIC	FOXO4	50
CIC	NUTM1	50
CREB1	TAF15	50
CREB1	FUS	50
DDIT3	FUS	50
DDIT3	EWSR1	50
EWSR1	FLI1	50
EWSR1	ERG	50
EWSR1	ETV1	50
EWSR1	ETV4	50
EWSR1	FEV	50
EWSR1	PATZ1	50
EWSR1	NFATC2	50
EWSR1	POU5F1	50
EWSR1	SMARCA5	50
EWSR1	SP3	50
EWSR1	ATF1	50
EWSR1	CREB1	50
EWSR1	CREB3L1	50
EWSR1	CREB3L2	50
EWSR1	WT1	50
FGFR1	TACC1	50
FGFR2	CTNNA3	50
FGFR2	ERC1	50
FGFR2	INA	50
FGFR2	SHTN1	50
FGFR3	TACC3	50
FGFR3	TLN1	50
FOS	ANKH	50
FOS	LMNA	50
FOS	GLI1	50
FOS	MYO1B	50
FOSB	LMNA	50
FUS	ERG	50
FUS	FEV	50
FUS	CREM	50
FUS	NFATC2	50
FUS	ATF1	50
FUS	CREB3L2	50
FUS	CREB3L1	50
GLI1	MALAT1	50
MAML2	CRTC1	50
MAML2	CRTC3	50
MAML2	YAP1	50
MAP3K8	SVIL	50
MAP3K8	DIP2C	50
MAP3K8	UBL3	50
MET	TGFB1	50
MET	CLIP2	50
MET	PTPRZ1	50
MN1	PATZ1	50
MN1	HGNET	50
MN1	CXXC5	50
MYB	QKI	50
MYBL1	NFIB	50
NCOA2	MEIS1	50
NCOA2	ZFP64	50
NCOA2	HEY1	50
NCOA2	SRF	50
NCOA2	VGLL2	50
NCOA2	TEAD1	50
MEIS1	NCOA2	50
NR4A3	EWSR1	50
NR4A3	TAF15	50
NR4A3	TCF12	50
NR4A3	TFG	50
NR4A3	SCPP	50
NTRK1	ARHGEF2	50
NTRK1	BCAN	50
NTRK1	CEL	50
NTRK1	CD74	50
NTRK1	CHTOP	50
NTRK1	CGN	50
NTRK1	COP1	50
NTRK1	CTRC	50
NTRK1	DDR2	50
NTRK1	GATAD2B	50
NTRK1	GON4L	50
NTRK1	GRIPAP1	50
NTRK1	IRF2BP2	50
NTRK1	LMNA	50
NTRK1	LRRC71	50
NTRK1	MDM4	50
NTRK1	MIR548F1	50
NTRK1	MPRIP	50
NTRK1	MRPL24	50
NTRK1	NFASC	50
NTRK1	P2RY8	50
NTRK1	PDE4DIP	50
NTRK1	PEAR1	50
NTRK1	PLEKHA6	50
NTRK1	PPL	50
NTRK1	RABGAP1L	50
NTRK1	SCYL3	50
NTRK1	SSBP2	50
NTRK1	SQSTM1	50
NTRK1	TFG	50
NTRK1	TP53	50
NTRK1	TPM3	50
NTRK1	TPR	50
NTRK1	TRIM63	50
NTRK2	AFAP1	50
NTRK2	AGBL4	50
NTRK2	BCR	50
NTRK2	DAB2IP	50
NTRK2	GKAP1	50
NTRK2	KCTD8	50
NTRK2	NACC2	50
NTRK2	NOS1AP	50
NTRK2	PAN3	50
NTRK2	QKI	50
NTRK2	SQSTM1	50
NTRK2	STRN	50
NTRK2	TBC1D2	50
NTRK2	TLE4	50
NTRK2	TRAF2	50
NTRK2	TRIM24	50
NTRK2	VCL	50
NTRK2	VCAN	50
